# Threshold	Compression	Recovery
0.025	1.45491	0.23468
0.05	1.45491	0.235376
0.075	1.45491	0.23468
0.1	1.45491	0.235376
0.125	1.45491	0.23468
0.15	1.45491	0.235376
0.175	1.45491	0.23468
0.2	1.45491	0.235376
0.225	1.45491	0.23468
0.25	1.45491	0.235376
0.275	1.45491	0.23468
0.3	1.45491	0.235376
0.325	1.45491	0.23468
0.35	1.45491	0.235376
0.375	1.46381	0.238162
0.4	1.46381	0.238858
0.425	1.46381	0.238162
0.45	1.46381	0.238858
0.475	2.05436	0.192201
0.5	2.58739	0.177577
0.525	2.58739	0.17688
0.55	2.58739	0.177577
0.575	2.58739	0.17688
0.6	3.19111	0.114903
0.625	3.19111	0.114903
0.65	3.19111	0.114903
0.675	3.19111	0.114903
0.7	3.4686	0.11351
0.725	3.4686	0.11351
0.75	5.56589	0.107939
0.775	5.69841	0.111421
0.8	5.69841	0.111421
0.825	6.64815	0.0598886
0.85	6.64815	0.0584958
0.875	6.64815	0.0598886
0.9	9.38562	0.0842618
0.925	9.38562	0.0842618
0.95	11.6748	0.0417827
0.975	11.3968	0.0438719
